4,0.00,-10.63,-0.10,0.10,12697.58,3213.44,3150.20,3221.34,0.00,4600000,0.05
4,0.00,-10.60,0.47,-0.50,12697.58,3213.44,3150.20,3217.39,3185.77,4600000,0.05
4,0.00,-10.58,-0.09,0.10,12697.58,3213.44,3150.20,3217.39,3185.77,4600000,0.05
0,0.00,-10.57,0.19,-0.20,12697.58,3213.44,3150.20,3217.39,3185.77,4600000,0.05
1,249.48,9.51,4.26,-426.00,12697.58,3213.44,3150.20,3217.39,3185.77,4500000,0.99
1,249.48,9.57,4.28,-428.30,12697.58,3217.39,3150.20,3221.34,3185.77,4100000,0.99
1,249.48,9.85,4.31,-431.30,12697.58,3213.44,3150.20,3221.34,3185.77,3700000,0.99
1,249.48,9.74,4.27,-426.70,12697.58,3217.39,3150.20,3221.34,3185.77,3300000,0.99
1,235.77,10.96,4.21,-420.80,12697.58,3217.39,3150.20,3221.34,3185.77,2900000,0.99
1,204.34,14.36,4.16,-416.10,12697.58,3213.44,3150.20,3221.34,3189.72,2500000,0.99
1,172.90,20.77,4.17,-417.30,12697.58,3217.39,3154.15,3221.34,3189.72,2100000,0.99
1,141.46,34.05,4.12,-411.70,12697.58,3217.39,3150.20,3221.34,3189.72,1700000,0.99
1,109.87,19.47,1.75,-174.60,12697.58,3217.39,3154.15,3221.34,3189.72,1300000,0.99
1,93.49,93.48,107.98,-316.80,12808.80,3217.39,3154.15,3225.30,3189.72,1200000,0.66
1,93.49,93.47,108.01,-320.70,12808.80,3221.34,3158.10,3225.30,3193.68,1200000,0.66
1,93.49,93.34,101.67,-304.00,12808.80,3221.34,3158.10,3225.30,3193.68,1200000,0.67
1,93.35,93.33,108.30,-325.20,12808.80,3221.34,3162.06,3225.30,3197.63,1200000,0.67
1,93.35,93.20,106.62,-331.30,12808.80,3225.30,3162.06,3229.25,3197.63,1200000,0.68
1,93.35,93.57,121.54,-397.40,12827.34,3225.30,3162.06,3229.25,3197.63,1200000,0.69
1,93.35,92.78,96.91,-352.60,12808.80,3225.30,3166.01,3229.25,3201.58,1200000,0.73
1,85.58,86.18,91.82,-265.10,12808.80,3225.30,3162.06,3229.25,3201.58,1100000,0.65
1,85.58,85.58,99.83,-286.30,12827.34,3225.30,3166.01,3229.25,3201.58,1100000,0.65
1,85.70,85.72,97.84,-282.80,12827.34,3225.30,3166.01,3229.25,3201.58,1100000,0.65
1,85.58,85.56,100.02,-289.90,12827.34,3225.30,3166.01,3229.25,3201.58,1100000,0.66
1,85.58,85.57,98.48,-288.50,12845.88,3225.30,3166.01,3229.25,3201.58,1100000,0.66
1,85.58,85.59,100.73,-295.30,12827.34,3225.30,3169.96,3229.25,3201.58,1100000,0.66
1,85.58,46.96,2.84,-284.10,12753.20,3225.30,3169.96,3229.25,3205.53,1100000,0.99
1,77.91,77.93,95.20,-231.20,12808.80,3225.30,3166.01,3229.25,3201.58,1000000,0.59
1,77.91,77.91,94.76,-230.50,12808.80,3225.30,3169.96,3229.25,3201.58,1000000,0.59
1,77.91,77.90,83.65,-203.10,12808.80,3225.30,3169.96,3229.25,3201.58,1000000,0.59
1,77.91,77.90,94.90,-230.90,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,95.67,-232.80,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,94.18,-228.80,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,85.57,-207.80,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,95.14,-231.40,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.92,90.69,-219.40,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,92.33,-222.60,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.59
1,77.91,77.91,91.32,-219.80,12808.80,3225.30,3169.96,3229.25,3205.53,1000000,0.58
1,77.91,77.91,92.51,-222.70,12808.80,3225.30,3173.91,3229.25,3205.53,1000000,0.58
1,77.91,77.90,92.26,-222.30,12808.80,3225.30,3173.91,3229.25,3205.53,1000000,0.58
1,77.91,77.91,91.28,-220.30,12808.80,3225.30,3173.91,3229.25,3205.53,1000000,0.59
1,77.91,77.88,90.76,-220.40,12808.80,3225.30,3173.91,3229.25,3205.53,1000000,0.59
1,93.22,53.66,3.27,-327.10,12753.20,3225.30,3173.91,3229.25,3205.53,1300000,0.99
1,85.58,84.43,107.01,-360.80,12827.34,3225.30,3173.91,3229.25,3201.58,1100000,0.70
1,86.07,50.27,92.58,-234.50,12808.80,3229.25,3173.91,3229.25,3209.49,1000000,0.61
1,77.80,77.79,83.61,-203.00,12808.80,3225.30,3173.91,3229.25,3205.53,1000000,0.59
1,77.80,77.78,83.34,-202.40,12808.80,3225.30,3173.91,3229.25,3209.49,1000000,0.59
1,77.80,77.79,92.80,-225.40,12827.34,3225.30,3173.91,3229.25,3209.49,1000000,0.59
1,77.80,77.80,91.81,-223.00,12827.34,3225.30,3173.91,3229.25,3209.49,1000000,0.59
1,77.80,77.78,91.74,-223.10,12827.34,3225.30,3177.87,3229.25,3209.49,1000000,0.59
1,77.80,77.76,90.29,-220.80,12827.34,3225.30,3177.87,3229.25,3209.49,1000000,0.59
1,77.80,77.78,93.53,-229.70,12827.34,3225.30,3177.87,3229.25,3209.49,1000000,0.59
1,77.80,77.81,93.61,-229.60,12827.34,3225.30,3177.87,3229.25,3209.49,1000000,0.59
