0.0010,0.0442,5.7096,0.8100,3866
0.0020,0.0357,5.7416,0.9900,7230
0.0030,0.0395,5.7416,0.9900,10510
0.0040,0.0400,5.7416,0.9900,13790
0.0050,0.0412,5.7416,0.9900,17070
0.0060,0.0409,5.7416,0.9900,20349
0.0070,0.0376,5.7416,0.9900,23629
0.0080,0.0373,5.7336,0.9900,26910
0.0090,0.0327,5.7256,0.9900,30190
0.0100,0.0299,5.7176,0.9900,33470
0.0110,0.0298,5.7016,0.9900,36750
0.0120,0.0326,5.7016,0.9900,40030
0.0010,0.0530,5.6695,0.8080,3274
0.0020,0.0399,5.7096,0.9900,6546
0.0030,0.0360,5.7096,0.9900,9826
0.0040,0.0297,5.6856,0.9900,13118
0.0050,0.0365,5.6775,0.9900,16402
0.0060,0.0295,5.6775,0.9900,19705
0.0070,0.0299,5.6695,0.9900,22986
0.0080,0.0337,5.6615,0.9900,26266
0.0090,0.0345,5.6615,0.9900,29546
0.0100,0.0382,5.6615,0.9900,32826
0.0110,0.0410,5.6695,0.9900,36106
0.0120,0.0384,5.6695,0.9900,39386
0.0130,0.0376,5.6695,0.9900,42665
0.0140,0.0321,5.6535,0.9900,45945
0.0150,0.0290,5.6455,0.9900,49226
0.0160,0.0307,5.6375,0.9900,52506
0.0170,0.0314,5.6295,0.9900,55786
0.0180,0.0364,5.6295,0.9900,59066
0.0190,0.0344,5.6455,0.9900,62358
0.0200,0.0299,5.6375,0.9900,65638
0.0210,0.0290,5.6215,0.9900,68918
0.0220,0.0304,5.6135,0.9900,72198
0.0230,0.0353,5.6135,0.9900,75478
0.0240,0.0397,5.6215,0.9900,78757
0.0250,0.0398,5.6215,0.9900,82038
0.0260,0.0384,5.6215,0.9900,85318
0.0270,0.0327,5.6135,0.9900,88598
0.0280,0.0287,5.5975,0.9900,91878
0.0290,0.0303,5.5895,0.9900,95158
0.0300,0.0317,5.5895,0.9900,98438
0.0310,0.0384,5.5895,0.9900,101718
0.0320,0.0610,5.5895,0.9890,104997
0.0330,0.0243,5.5975,0.9890,108290
0.0340,0.0431,5.5815,0.9890,111569
0.0350,0.0283,5.5815,0.9880,114850
0.0360,0.0480,5.5654,0.9890,118130
0.0370,0.0350,5.5574,0.9710,121410
0.0380,0.0318,5.5654,0.9560,124690
0.0390,0.0232,5.5654,0.9410,127970
0.0400,0.0421,5.5654,0.9380,131250
0.0410,0.0242,5.5574,0.9210,134530
0.0420,0.0376,5.5254,0.9000,137809
0.0430,0.0462,5.5174,0.8950,141089
0.0440,0.0549,5.5174,0.8920,144370
0.0450,0.0449,5.5014,0.8730,147650
0.0460,0.0296,5.5174,0.8660,150930
0.0470,0.0326,5.4213,0.9880,231106
0.0480,0.0526,5.3973,0.9880,234398
0.0490,0.0437,5.4053,0.9880,237678
0.0500,0.0741,5.4053,0.9890,240958
0.0510,0.0582,5.4133,0.9900,244238
0.0520,0.0441,5.4133,0.9880,247518
0.0530,0.0670,5.4053,0.9810,250798
0.0540,0.0484,5.3973,0.9720,254077
0.0550,0.0574,5.3813,0.9610,257357
0.0560,0.0684,5.3572,0.9460,260638
0.0570,0.0521,5.3492,0.9410,263918
0.0580,0.0397,5.3492,0.9300,267198
0.0590,0.0464,5.3492,0.9250,270478
0.0600,0.0629,5.3492,0.9160,273758
0.0610,0.0673,5.3412,0.9090,277038
0.0620,0.0489,5.3332,0.9000,280330
0.0630,0.0762,5.3172,0.8950,283610
0.0640,0.0672,5.3012,0.8860,286889
0.0650,0.0756,5.2932,0.8790,290169
0.0660,0.0779,5.2932,0.8700,293450
0.0670,0.0593,5.2772,0.8610,296754
0.0680,0.0637,5.2772,0.8540,300034
0.0690,0.0490,5.2772,0.8510,303313
0.0700,0.0737,5.2691,0.8460,306593
0.0710,0.0962,5.2611,0.8350,309874
0.0720,0.0742,5.1490,0.9890,402866
0.0730,0.0944,5.1410,0.9890,406146
0.0740,0.0789,5.1490,0.9900,409425
0.0750,0.0814,5.1650,0.9900,412705
0.0760,0.0530,5.1490,0.9880,415997
0.0770,0.0745,5.1330,0.9820,419277
0.0780,0.0930,5.1170,0.9730,422558
0.0790,0.0803,5.1250,0.9720,425838
0.0800,0.1005,5.1330,0.9650,429118
0.0810,0.0857,5.1250,0.9540,432398
0.0820,0.0655,5.1090,0.9490,435678
0.0830,0.0711,5.1010,0.9380,438958
0.0840,0.0665,5.0850,0.9370,442237
0.0850,0.0987,5.0690,0.9300,445517
0.0860,0.0851,5.0529,0.9230,448798
0.0870,0.1130,5.0449,0.9140,452078
0.0880,0.0935,5.0609,0.9150,455358
0.0890,0.1035,5.0449,0.9020,458638
0.0900,0.0842,4.9969,0.8910,461930
0.0910,0.0897,5.0049,0.8900,465210
0.0920,0.0932,4.9889,0.8870,468490
0.0930,0.0921,4.9889,0.8800,471770
0.0940,0.1185,4.9809,0.8750,475049
0.0950,0.0944,4.9729,0.8700,478329
0.0960,0.1114,4.9488,0.8630,481610
